accessibility.chat.tts.says,chat.type.text.narrate
item.banner.globe.blue,block.minecraft.banner.globe.blue
item.banner.globe.brown,block.minecraft.banner.globe.brown
item.banner.globe.cyan,block.minecraft.banner.globe.cyan
item.banner.globe.gray,block.minecraft.banner.globe.gray
item.banner.globe.green,block.minecraft.banner.globe.green
item.banner.globe.lightBlue,block.minecraft.banner.globe.light_blue
item.banner.globe.lime,block.minecraft.banner.globe.lime
item.banner.globe.magenta,block.minecraft.banner.globe.magenta
item.banner.globe.orange,block.minecraft.banner.globe.orange
item.banner.globe.pink,block.minecraft.banner.globe.pink
item.banner.globe.purple,block.minecraft.banner.globe.purple
item.banner.globe.red,block.minecraft.banner.globe.red
item.banner.globe.silver,block.minecraft.banner.globe.light_gray
item.banner.globe.white,block.minecraft.banner.globe.white
item.banner.globe.yellow,block.minecraft.banner.globe.yellow
item.banner.gradient.black,block.minecraft.banner.gradient.black
item.banner.gradient.blue,block.minecraft.banner.gradient.blue
item.banner.gradient.brown,block.minecraft.banner.gradient.brown
item.banner.gradient.cyan,block.minecraft.banner.gradient.cyan
item.banner.gradient.gray,block.minecraft.banner.gradient.gray
item.banner.gradient.green,block.minecraft.banner.gradient.green
item.banner.gradient.lightBlue,block.minecraft.banner.gradient.light_blue
item.banner.gradient.lime,block.minecraft.banner.gradient.lime
item.banner.gradient.magenta,block.minecraft.banner.gradient.magenta
item.banner.gradient.orange,block.minecraft.banner.gradient.orange
item.banner.gradient.pink,block.minecraft.banner.gradient.pink
item.banner.gradient.purple,block.minecraft.banner.gradient.purple
item.banner.gradient.red,block.minecraft.banner.gradient.red
item.banner.gradient.silver,block.minecraft.banner.gradient.light_gray
item.banner.gradient.white,block.minecraft.banner.gradient.white
item.banner.gradient.yellow,block.minecraft.banner.gradient.yellow
item.banner.gradient_up.black,block.minecraft.banner.gradient_up.black
item.banner.gradient_up.blue,block.minecraft.banner.gradient_up.blue
item.banner.gradient_up.brown,block.minecraft.banner.gradient_up.brown
item.banner.gradient_up.cyan,block.minecraft.banner.gradient_up.cyan
item.banner.gradient_up.gray,block.minecraft.banner.gradient_up.gray
item.banner.gradient_up.green,block.minecraft.banner.gradient_up.green
item.banner.gradient_up.lightBlue,block.minecraft.banner.gradient_up.light_blue
item.banner.gradient_up.lime,block.minecraft.banner.gradient_up.lime
item.banner.gradient_up.magenta,block.minecraft.banner.gradient_up.magenta
item.banner.gradient_up.orange,block.minecraft.banner.gradient_up.orange
item.banner.gradient_up.pink,block.minecraft.banner.gradient_up.pink
item.banner.gradient_up.purple,block.minecraft.banner.gradient_up.purple
item.banner.gradient_up.red,block.minecraft.banner.gradient_up.red
item.banner.gradient_up.silver,block.minecraft.banner.gradient_up.light_gray
item.banner.gradient_up.white,block.minecraft.banner.gradient_up.white
item.banner.gradient_up.yellow,block.minecraft.banner.gradient_up.yellow
item.banner.gray.name,block.minecraft.gray_banner
item.banner.green.name,block.minecraft.green_banner
item.banner.half_horizontal.black,block.minecraft.banner.half_horizontal.black
item.banner.half_horizontal.blue,block.minecraft.banner.half_horizontal.blue
item.banner.half_horizontal.brown,block.minecraft.banner.half_horizontal.brown
item.banner.half_horizontal.cyan,block.minecraft.banner.half_horizontal.cyan
item.banner.half_horizontal.gray,block.minecraft.banner.half_horizontal.gray
item.banner.half_horizontal.green,block.minecraft.banner.half_horizontal.green
item.banner.half_horizontal.lightBlue,block.minecraft.banner.half_horizontal.light_blue
item.banner.half_horizontal.lime,block.minecraft.banner.half_horizontal.lime
item.banner.half_horizontal.magenta,block.minecraft.banner.half_horizontal.magenta
item.banner.half_horizontal.orange,block.minecraft.banner.half_horizontal.orange
item.banner.half_horizontal.pink,block.minecraft.banner.half_horizontal.pink
item.banner.half_horizontal.purple,block.minecraft.banner.half_horizontal.purple
item.banner.half_horizontal.red,block.minecraft.banner.half_horizontal.red
item.banner.half_horizontal.silver,block.minecraft.banner.half_horizontal.light_gray
item.banner.half_horizontal.white,block.minecraft.banner.half_horizontal.white
item.banner.half_horizontal.yellow,block.minecraft.banner.half_horizontal.yellow
item.banner.half_horizontal_bottom.black,block.minecraft.banner.half_horizontal_bottom.black
item.banner.half_horizontal_bottom.blue,block.minecraft.banner.half_horizontal_bottom.blue
item.banner.half_horizontal_bottom.brown,block.minecraft.banner.half_horizontal_bottom.brown
item.banner.half_horizontal_bottom.cyan,block.minecraft.banner.half_horizontal_bottom.cyan
item.banner.half_horizontal_bottom.gray,block.minecraft.banner.half_horizontal_bottom.gray
item.banner.half_horizontal_bottom.green,block.minecraft.banner.half_horizontal_bottom.green
item.banner.half_horizontal_bottom.lightBlue,block.minecraft.banner.half_horizontal_bottom.light_blue
item.banner.half_horizontal_bottom.lime,block.minecraft.banner.half_horizontal_bottom.lime
item.banner.half_horizontal_bottom.magenta,block.minecraft.banner.half_horizontal_bottom.magenta
item.banner.half_horizontal_bottom.orange,block.minecraft.banner.half_horizontal_bottom.orange
item.banner.half_horizontal_bottom.pink,block.minecraft.banner.half_horizontal_bottom.pink
item.banner.half_horizontal_bottom.purple,block.minecraft.banner.half_horizontal_bottom.purple
item.banner.half_horizontal_bottom.red,block.minecraft.banner.half_horizontal_bottom.red
item.banner.half_horizontal_bottom.silver,block.minecraft.banner.half_horizontal_bottom.light_gray
item.banner.half_horizontal_bottom.white,block.minecraft.banner.half_horizontal_bottom.white
item.banner.half_horizontal_bottom.yellow,block.minecraft.banner.half_horizontal_bottom.yellow
item.banner.half_vertical.black,block.minecraft.banner.half_vertical.black
item.banner.half_vertical.blue,block.minecraft.banner.half_vertical.blue
item.banner.half_vertical.brown,block.minecraft.banner.half_vertical.brown
item.banner.half_vertical.cyan,block.minecraft.banner.half_vertical.cyan
item.banner.half_vertical.gray,block.minecraft.banner.half_vertical.gray
item.banner.half_vertical.green,block.minecraft.banner.half_vertical.green
item.banner.half_vertical.lightBlue,block.minecraft.banner.half_vertical.light_blue
item.banner.half_vertical.lime,block.minecraft.banner.half_vertical.lime
item.banner.half_vertical.magenta,block.minecraft.banner.half_vertical.magenta
item.banner.half_vertical.orange,block.minecraft.banner.half_vertical.orange
item.banner.half_vertical.pink,block.minecraft.banner.half_vertical.pink
item.banner.half_vertical.purple,block.minecraft.banner.half_vertical.purple
item.banner.half_vertical.red,block.minecraft.banner.half_vertical.red
item.banner.half_vertical.silver,block.minecraft.banner.half_vertical.light_gray
item.banner.half_vertical.white,block.minecraft.banner.half_vertical.white
item.banner.half_vertical.yellow,block.minecraft.banner.half_vertical.yellow
item.banner.half_vertical_right.black,block.minecraft.banner.half_vertical_right.black
item.banner.half_vertical_right.blue,block.minecraft.banner.half_vertical_right.blue
item.banner.half_vertical_right.brown,block.minecraft.banner.half_vertical_right.brown
item.banner.half_vertical_right.cyan,block.minecraft.banner.half_vertical_right.cyan
item.banner.half_vertical_right.gray,block.minecraft.banner.half_vertical_right.gray
item.banner.half_vertical_right.green,block.minecraft.banner.half_vertical_right.green
item.banner.half_vertical_right.lightBlue,block.minecraft.banner.half_vertical_right.light_blue
item.banner.half_vertical_right.lime,block.minecraft.banner.half_vertical_right.lime
item.banner.half_vertical_right.magenta,block.minecraft.banner.half_vertical_right.magenta
item.banner.half_vertical_right.orange,block.minecraft.banner.half_vertical_right.orange
item.banner.half_vertical_right.pink,block.minecraft.banner.half_vertical_right.pink
item.banner.half_vertical_right.purple,block.minecraft.banner.half_vertical_right.purple
item.banner.half_vertical_right.red,block.minecraft.banner.half_vertical_right.red
item.banner.half_vertical_right.silver,block.minecraft.banner.half_vertical_right.light_gray
item.banner.half_vertical_right.white,block.minecraft.banner.half_vertical_right.white
item.banner.half_vertical_right.yellow,block.minecraft.banner.half_vertical_right.yellow
item.banner.lightBlue.name,block.minecraft.light_blue_banner
item.banner.lime.name,block.minecraft.lime_banner
item.banner.magenta.name,block.minecraft.magenta_banner
item.banner.mojang.black,block.minecraft.banner.mojang.black
item.banner.mojang.blue,block.minecraft.banner.mojang.blue
item.banner.mojang.brown,block.minecraft.banner.mojang.brown
item.banner.mojang.cyan,block.minecraft.banner.mojang.cyan
item.banner.mojang.gray,block.minecraft.banner.mojang.gray
item.banner.mojang.green,block.minecraft.banner.mojang.green
item.banner.mojang.lightBlue,block.minecraft.banner.mojang.light_blue
item.banner.mojang.lime,block.minecraft.banner.mojang.lime
item.banner.mojang.magenta,block.minecraft.banner.mojang.magenta
item.banner.mojang.orange,block.minecraft.banner.mojang.orange
item.banner.mojang.pink,block.minecraft.banner.mojang.pink
item.banner.mojang.purple,block.minecraft.banner.mojang.purple
item.banner.mojang.red,block.minecraft.banner.mojang.red
item.banner.mojang.silver,block.minecraft.banner.mojang.light_gray
item.banner.mojang.white,block.minecraft.banner.mojang.white
item.banner.mojang.yellow,block.minecraft.banner.mojang.yellow
item.banner.orange.name,block.minecraft.orange_banner
item.banner.piglin.black,block.minecraft.banner.piglin.black
item.banner.piglin.blue,block.minecraft.banner.piglin.blue
item.banner.piglin.brown,block.minecraft.banner.piglin.brown
item.banner.piglin.cyan,block.minecraft.banner.piglin.cyan
item.banner.piglin.gray,block.minecraft.banner.piglin.gray
item.banner.piglin.green,block.minecraft.banner.piglin.green
item.banner.piglin.lightBlue,block.minecraft.banner.piglin.light_blue
item.banner.piglin.lime,block.minecraft.banner.piglin.lime
item.banner.piglin.magenta,block.minecraft.banner.piglin.magenta
item.banner.piglin.orange,block.minecraft.banner.piglin.orange
item.banner.piglin.pink,block.minecraft.banner.piglin.pink
item.banner.piglin.purple,block.minecraft.banner.piglin.purple
item.banner.piglin.red,block.minecraft.banner.piglin.red
item.banner.piglin.silver,block.minecraft.banner.piglin.light_gray
item.banner.piglin.white,block.minecraft.banner.piglin.white
item.banner.piglin.yellow,block.minecraft.banner.piglin.yellow
item.banner.pink.name,block.minecraft.pink_banner
item.banner.purple.name,block.minecraft.purple_banner
item.banner.red.name,block.minecraft.red_banner
item.banner.rhombus.black,block.minecraft.banner.rhombus.black
item.banner.rhombus.blue,block.minecraft.banner.rhombus.blue
item.banner.rhombus.brown,block.minecraft.banner.rhombus.brown
item.banner.rhombus.cyan,block.minecraft.banner.rhombus.cyan
item.banner.rhombus.gray,block.minecraft.banner.rhombus.gray
item.banner.rhombus.green,block.minecraft.banner.rhombus.green
item.banner.rhombus.lightBlue,block.minecraft.banner.rhombus.light_blue
item.banner.rhombus.lime,block.minecraft.banner.rhombus.lime
item.banner.rhombus.magenta,block.minecraft.banner.rhombus.magenta
item.banner.rhombus.orange,block.minecraft.banner.rhombus.orange
item.banner.rhombus.pink,block.minecraft.banner.rhombus.pink
item.banner.rhombus.purple,block.minecraft.banner.rhombus.purple
item.banner.rhombus.red,block.minecraft.banner.rhombus.red
item.banner.rhombus.silver,block.minecraft.banner.rhombus.light_gray
item.banner.rhombus.white,block.minecraft.banner.rhombus.white
item.banner.rhombus.yellow,block.minecraft.banner.rhombus.yellow
item.banner.silver.name,block.minecraft.light_gray_banner
item.banner.skull.black,block.minecraft.banner.skull.black
item.banner.skull.blue,block.minecraft.banner.skull.blue
item.banner.skull.brown,block.minecraft.banner.skull.brown
item.banner.skull.cyan,block.minecraft.banner.skull.cyan
item.banner.skull.gray,block.minecraft.banner.skull.gray
item.banner.skull.green,block.minecraft.banner.skull.green
item.banner.skull.lightBlue,block.minecraft.banner.skull.light_blue
item.banner.skull.lime,block.minecraft.banner.skull.lime
item.banner.skull.magenta,block.minecraft.banner.skull.magenta
item.banner.skull.orange,block.minecraft.banner.skull.orange
item.banner.skull.pink,block.minecraft.banner.skull.pink
item.banner.skull.purple,block.minecraft.banner.skull.purple
item.banner.skull.red,block.minecraft.banner.skull.red
item.banner.skull.silver,block.minecraft.banner.skull.light_gray
item.banner.skull.white,block.minecraft.banner.skull.white
item.banner.skull.yellow,block.minecraft.banner.skull.yellow
item.banner.small_stripes.black,block.minecraft.banner.small_stripes.black
item.banner.small_stripes.blue,block.minecraft.banner.small_stripes.blue
item.banner.small_stripes.brown,block.minecraft.banner.small_stripes.brown
item.banner.small_stripes.cyan,block.minecraft.banner.small_stripes.cyan
item.banner.small_stripes.gray,block.minecraft.banner.small_stripes.gray
item.banner.small_stripes.green,block.minecraft.banner.small_stripes.green
item.banner.small_stripes.lightBlue,block.minecraft.banner.small_stripes.light_blue
item.banner.small_stripes.lime,block.minecraft.banner.small_stripes.lime
item.banner.small_stripes.magenta,block.minecraft.banner.small_stripes.magenta
item.banner.small_stripes.orange,block.minecraft.banner.small_stripes.orange
item.banner.small_stripes.pink,block.minecraft.banner.small_stripes.pink
item.banner.small_stripes.purple,block.minecraft.banner.small_stripes.purple
item.banner.small_stripes.red,block.minecraft.banner.small_stripes.red
item.banner.small_stripes.silver,block.minecraft.banner.small_stripes.light_gray
item.banner.small_stripes.white,block.minecraft.banner.small_stripes.white
item.banner.small_stripes.yellow,block.minecraft.banner.small_stripes.yellow
item.banner.square_bottom_left.black,block.minecraft.banner.square_bottom_left.black
item.banner.square_bottom_left.blue,block.minecraft.banner.square_bottom_left.blue
item.banner.square_bottom_left.brown,block.minecraft.banner.square_bottom_left.brown
item.banner.square_bottom_left.cyan,block.minecraft.banner.square_bottom_left.cyan
item.banner.square_bottom_left.gray,block.minecraft.banner.square_bottom_left.gray
item.banner.square_bottom_left.green,block.minecraft.banner.square_bottom_left.green
item.banner.square_bottom_left.lightBlue,block.minecraft.banner.square_bottom_left.light_blue
item.banner.square_bottom_left.lime,block.minecraft.banner.square_bottom_left.lime
item.banner.square_bottom_left.magenta,block.minecraft.banner.square_bottom_left.magenta
item.banner.square_bottom_left.orange,block.minecraft.banner.square_bottom_left.orange
item.banner.square_bottom_left.pink,block.minecraft.banner.square_bottom_left.pink
item.banner.square_bottom_left.purple,block.minecraft.banner.square_bottom_left.purple
item.banner.square_bottom_left.red,block.minecraft.banner.square_bottom_left.red
item.banner.square_bottom_left.silver,block.minecraft.banner.square_bottom_left.light_gray
item.banner.square_bottom_left.white,block.minecraft.banner.square_bottom_left.white
item.banner.square_bottom_left.yellow,block.minecraft.banner.square_bottom_left.yellow
item.banner.square_bottom_right.black,block.minecraft.banner.square_bottom_right.black
item.banner.square_bottom_right.blue,block.minecraft.banner.square_bottom_right.blue
item.banner.square_bottom_right.brown,block.minecraft.banner.square_bottom_right.brown
item.banner.square_bottom_right.cyan,block.minecraft.banner.square_bottom_right.cyan
item.banner.square_bottom_right.gray,block.minecraft.banner.square_bottom_right.gray
item.banner.square_bottom_right.green,block.minecraft.banner.square_bottom_right.green
item.banner.square_bottom_right.lightBlue,block.minecraft.banner.square_bottom_right.light_blue
item.banner.square_bottom_right.lime,block.minecraft.banner.square_bottom_right.lime
item.banner.square_bottom_right.magenta,block.minecraft.banner.square_bottom_right.magenta
item.banner.square_bottom_right.orange,block.minecraft.banner.square_bottom_right.orange
item.banner.square_bottom_right.pink,block.minecraft.banner.square_bottom_right.pink
item.banner.square_bottom_right.purple,block.minecraft.banner.square_bottom_right.purple
item.banner.square_bottom_right.red,block.minecraft.banner.square_bottom_right.red
item.banner.square_bottom_right.silver,block.minecraft.banner.square_bottom_right.light_gray
item.banner.square_bottom_right.white,block.minecraft.banner.square_bottom_right.white
item.banner.square_bottom_right.yellow,block.minecraft.banner.square_bottom_right.yellow
item.banner.square_top_left.black,block.minecraft.banner.square_top_left.black
item.banner.square_top_left.blue,block.minecraft.banner.square_top_left.blue
item.banner.square_top_left.brown,block.minecraft.banner.square_top_left.brown
item.banner.square_top_left.cyan,block.minecraft.banner.square_top_left.cyan
item.banner.square_top_left.gray,block.minecraft.banner.square_top_left.gray
item.banner.square_top_left.green,block.minecraft.banner.square_top_left.green
item.banner.square_top_left.lightBlue,block.minecraft.banner.square_top_left.light_blue
item.banner.square_top_left.lime,block.minecraft.banner.square_top_left.lime
item.banner.square_top_left.magenta,block.minecraft.banner.square_top_left.magenta
item.banner.square_top_left.orange,block.minecraft.banner.square_top_left.orange
item.banner.square_top_left.pink,block.minecraft.banner.square_top_left.pink
item.banner.square_top_left.purple,block.minecraft.banner.square_top_left.purple
item.banner.square_top_left.red,block.minecraft.banner.square_top_left.red
item.banner.square_top_left.silver,block.minecraft.banner.square_top_left.light_gray
item.banner.square_top_left.white,block.minecraft.banner.square_top_left.white
item.banner.square_top_left.yellow,block.minecraft.banner.square_top_left.yellow
item.banner.square_top_right.black,block.minecraft.banner.square_top_right.black
item.banner.square_top_right.blue,block.minecraft.banner.square_top_right.blue
item.banner.square_top_right.brown,block.minecraft.banner.square_top_right.brown
item.banner.square_top_right.cyan,block.minecraft.banner.square_top_right.cyan
item.banner.square_top_right.gray,block.minecraft.banner.square_top_right.gray
item.banner.square_top_right.green,block.minecraft.banner.square_top_right.green
item.banner.square_top_right.lightBlue,block.minecraft.banner.square_top_right.light_blue
item.banner.square_top_right.lime,block.minecraft.banner.square_top_right.lime
item.banner.square_top_right.magenta,block.minecraft.banner.square_top_right.magenta
item.banner.square_top_right.orange,block.minecraft.banner.square_top_right.orange
item.banner.square_top_right.pink,block.minecraft.banner.square_top_right.pink
item.banner.square_top_right.purple,block.minecraft.banner.square_top_right.purple
item.banner.square_top_right.red,block.minecraft.banner.square_top_right.red
item.banner.square_top_right.silver,block.minecraft.banner.square_top_right.light_gray
item.banner.square_top_right.white,block.minecraft.banner.square_top_right.white
item.banner.square_top_right.yellow,block.minecraft.banner.square_top_right.yellow
item.banner.straight_cross.black,block.minecraft.banner.straight_cross.black
item.banner.straight_cross.blue,block.minecraft.banner.straight_cross.blue
item.banner.straight_cross.brown,block.minecraft.banner.straight_cross.brown
item.banner.straight_cross.cyan,block.minecraft.banner.straight_cross.cyan
item.banner.straight_cross.gray,block.minecraft.banner.straight_cross.gray
item.banner.straight_cross.green,block.minecraft.banner.straight_cross.green
item.banner.straight_cross.lightBlue,block.minecraft.banner.straight_cross.light_blue
item.banner.straight_cross.lime,block.minecraft.banner.straight_cross.lime
item.banner.straight_cross.magenta,block.minecraft.banner.straight_cross.magenta
item.banner.straight_cross.orange,block.minecraft.banner.straight_cross.orange
item.banner.straight_cross.pink,block.minecraft.banner.straight_cross.pink
item.banner.straight_cross.purple,block.minecraft.banner.straight_cross.purple
item.banner.straight_cross.red,block.minecraft.banner.straight_cross.red
item.banner.straight_cross.silver,block.minecraft.banner.straight_cross.light_gray
item.banner.straight_cross.white,block.minecraft.banner.straight_cross.white
item.banner.straight_cross.yellow,block.minecraft.banner.straight_cross.yellow
item.banner.stripe_center.black,block.minecraft.banner.stripe_center.black
item.banner.stripe_center.blue,block.minecraft.banner.stripe_center.blue
item.banner.stripe_center.brown,block.minecraft.banner.stripe_center.brown
item.banner.stripe_center.cyan,block.minecraft.banner.stripe_center.cyan
item.banner.stripe_center.gray,block.minecraft.banner.stripe_center.gray
item.banner.stripe_center.green,block.minecraft.banner.stripe_center.green
item.banner.stripe_center.lightBlue,block.minecraft.banner.stripe_center.light_blue
item.banner.stripe_center.lime,block.minecraft.banner.stripe_center.lime
item.banner.stripe_center.magenta,block.minecraft.banner.stripe_center.magenta
item.banner.stripe_center.orange,block.minecraft.banner.stripe_center.orange
item.banner.stripe_center.pink,block.minecraft.banner.stripe_center.pink
item.banner.stripe_center.purple,block.minecraft.banner.stripe_center.purple
item.banner.stripe_center.red,block.minecraft.banner.stripe_center.red
item.banner.stripe_center.silver,block.minecraft.banner.stripe_center.light_gray
item.banner.stripe_center.white,block.minecraft.banner.stripe_center.white
item.banner.stripe_center.yellow,block.minecraft.banner.stripe_center.yellow
item.banner.stripe_downleft.black,block.minecraft.banner.stripe_downleft.black
item.banner.stripe_downleft.blue,block.minecraft.banner.stripe_downleft.blue
item.banner.stripe_downleft.brown,block.minecraft.banner.stripe_downleft.brown
item.banner.stripe_downleft.cyan,block.minecraft.banner.stripe_downleft.cyan
item.banner.stripe_downleft.gray,block.minecraft.banner.stripe_downleft.gray
item.banner.stripe_downleft.green,block.minecraft.banner.stripe_downleft.green
item.banner.stripe_downleft.lightBlue,block.minecraft.banner.stripe_downleft.light_blue
item.banner.stripe_downleft.lime,block.minecraft.banner.stripe_downleft.lime
item.banner.stripe_downleft.magenta,block.minecraft.banner.stripe_downleft.magenta
item.banner.stripe_downleft.orange,block.minecraft.banner.stripe_downleft.orange
item.banner.stripe_downleft.pink,block.minecraft.banner.stripe_downleft.pink
item.banner.stripe_downleft.purple,block.minecraft.banner.stripe_downleft.purple
item.banner.stripe_downleft.red,block.minecraft.banner.stripe_downleft.red
item.banner.stripe_downleft.silver,block.minecraft.banner.stripe_downleft.light_gray
item.banner.stripe_downleft.white,block.minecraft.banner.stripe_downleft.white
item.banner.stripe_downleft.yellow,block.minecraft.banner.stripe_downleft.yellow
item.banner.stripe_downright.black,block.minecraft.banner.stripe_downright.black
item.banner.stripe_downright.blue,block.minecraft.banner.stripe_downright.blue
item.banner.stripe_downright.brown,block.minecraft.banner.stripe_downright.brown
item.banner.stripe_downright.cyan,block.minecraft.banner.stripe_downright.cyan
item.banner.stripe_downright.gray,block.minecraft.banner.stripe_downright.gray
item.banner.stripe_downright.green,block.minecraft.banner.stripe_downright.green
item.banner.stripe_downright.lightBlue,block.minecraft.banner.stripe_downright.light_blue
item.banner.stripe_downright.lime,block.minecraft.banner.stripe_downright.lime
item.banner.stripe_downright.magenta,block.minecraft.banner.stripe_downright.magenta
item.banner.stripe_downright.orange,block.minecraft.banner.stripe_downright.orange
item.banner.stripe_downright.pink,block.minecraft.banner.stripe_downright.pink
item.banner.stripe_downright.purple,block.minecraft.banner.stripe_downright.purple
item.banner.stripe_downright.red,block.minecraft.banner.stripe_downright.red
item.banner.stripe_downright.silver,block.minecraft.banner.stripe_downright.light_gray
item.banner.stripe_downright.white,block.minecraft.banner.stripe_downright.white
item.banner.stripe_downright.yellow,block.minecraft.banner.stripe_downright.yellow
item.banner.stripe_left.black,block.minecraft.banner.stripe_left.black
item.banner.stripe_left.blue,block.minecraft.banner.stripe_left.blue
item.banner.stripe_left.brown,block.minecraft.banner.stripe_left.brown
item.banner.stripe_left.cyan,block.minecraft.banner.stripe_left.cyan
item.banner.stripe_left.gray,block.minecraft.banner.stripe_left.gray
item.banner.stripe_left.green,block.minecraft.banner.stripe_left.green
item.banner.stripe_left.lightBlue,block.minecraft.banner.stripe_left.light_blue
item.banner.stripe_left.lime,block.minecraft.banner.stripe_left.lime
item.banner.stripe_left.magenta,block.minecraft.banner.stripe_left.magenta
item.banner.stripe_left.orange,block.minecraft.banner.stripe_left.orange
item.banner.stripe_left.pink,block.minecraft.banner.stripe_left.pink
item.banner.stripe_left.purple,block.minecraft.banner.stripe_left.purple
item.banner.stripe_left.red,block.minecraft.banner.stripe_left.red
item.banner.stripe_left.silver,block.minecraft.banner.stripe_left.light_gray
item.banner.stripe_left.white,block.minecraft.banner.stripe_left.white
item.banner.stripe_left.yellow,block.minecraft.banner.stripe_left.yellow
item.banner.stripe_middle.black,block.minecraft.banner.stripe_middle.black
item.banner.stripe_middle.blue,block.minecraft.banner.stripe_middle.blue
item.banner.stripe_middle.brown,block.minecraft.banner.stripe_middle.brown
item.banner.stripe_middle.cyan,block.minecraft.banner.stripe_middle.cyan
item.banner.stripe_middle.gray,block.minecraft.banner.stripe_middle.gray
item.banner.stripe_middle.green,block.minecraft.banner.stripe_middle.green
item.banner.stripe_middle.lightBlue,block.minecraft.banner.stripe_middle.light_blue
item.banner.stripe_middle.lime,block.minecraft.banner.stripe_middle.lime
item.banner.stripe_middle.magenta,block.minecraft.banner.stripe_middle.magenta
item.banner.stripe_middle.orange,block.minecraft.banner.stripe_middle.orange
item.banner.stripe_middle.pink,block.minecraft.banner.stripe_middle.pink
item.banner.stripe_middle.purple,block.minecraft.banner.stripe_middle.purple
item.banner.stripe_middle.red,block.minecraft.banner.stripe_middle.red
item.banner.stripe_middle.silver,block.minecraft.banner.stripe_middle.light_gray
item.banner.stripe_middle.white,block.minecraft.banner.stripe_middle.white
item.banner.stripe_middle.yellow,block.minecraft.banner.stripe_middle.yellow
item.banner.stripe_right.black,block.minecraft.banner.stripe_right.black
item.banner.stripe_right.blue,block.minecraft.banner.stripe_right.blue
item.banner.stripe_right.brown,block.minecraft.banner.stripe_right.brown
item.banner.stripe_right.cyan,block.minecraft.banner.stripe_right.cyan
item.banner.stripe_right.gray,block.minecraft.banner.stripe_right.gray
item.banner.stripe_right.green,block.minecraft.banner.stripe_right.green
item.banner.stripe_right.lightBlue,block.minecraft.banner.stripe_right.light_blue
item.banner.stripe_right.lime,block.minecraft.banner.stripe_right.lime
item.banner.stripe_right.magenta,block.minecraft.banner.stripe_right.magenta
item.banner.stripe_right.orange,block.minecraft.banner.stripe_right.orange
item.banner.stripe_right.pink,block.minecraft.banner.stripe_right.pink
item.banner.stripe_right.purple,block.minecraft.banner.stripe_right.purple
item.banner.stripe_right.red,block.minecraft.banner.stripe_right.red
item.banner.stripe_right.silver,block.minecraft.banner.stripe_right.light_gray
item.banner.stripe_right.white,block.minecraft.banner.stripe_right.white
item.banner.stripe_right.yellow,block.minecraft.banner.stripe_right.yellow
item.banner.triangle_bottom.black,block.minecraft.banner.triangle_bottom.black
item.banner.triangle_bottom.blue,block.minecraft.banner.triangle_bottom.blue
item.banner.triangle_bottom.brown,block.minecraft.banner.triangle_bottom.brown
item.banner.triangle_bottom.cyan,block.minecraft.banner.triangle_bottom.cyan
item.banner.triangle_bottom.gray,block.minecraft.banner.triangle_bottom.gray
item.banner.triangle_bottom.green,block.minecraft.banner.triangle_bottom.green
item.banner.triangle_bottom.lightBlue,block.minecraft.banner.triangle_bottom.light_blue
item.banner.triangle_bottom.lime,block.minecraft.banner.triangle_bottom.lime
item.banner.triangle_bottom.magenta,block.minecraft.banner.triangle_bottom.magenta
item.banner.triangle_bottom.orange,block.minecraft.banner.triangle_bottom.orange
item.banner.triangle_bottom.pink,block.minecraft.banner.triangle_bottom.pink
item.banner.triangle_bottom.purple,block.minecraft.banner.triangle_bottom.purple
item.banner.triangle_bottom.red,block.minecraft.banner.triangle_bottom.red
item.banner.triangle_bottom.silver,block.minecraft.banner.triangle_bottom.light_gray
item.banner.triangle_bottom.white,block.minecraft.banner.triangle_bottom.white
item.banner.triangle_bottom.yellow,block.minecraft.banner.triangle_bottom.yellow
item.banner.triangle_top.black,block.minecraft.banner.triangle_top.black
item.banner.triangle_top.blue,block.minecraft.banner.triangle_top.blue
item.banner.triangle_top.brown,block.minecraft.banner.triangle_top.brown
item.banner.triangle_top.cyan,block.minecraft.banner.triangle_top.cyan
item.banner.triangle_top.gray,block.minecraft.banner.triangle_top.gray
item.banner.triangle_top.green,block.minecraft.banner.triangle_top.green
item.banner.triangle_top.lightBlue,block.minecraft.banner.triangle_top.light_blue
item.banner.triangle_top.lime,block.minecraft.banner.triangle_top.lime
item.banner.triangle_top.magenta,block.minecraft.banner.triangle_top.magenta
item.banner.triangle_top.orange,block.minecraft.banner.triangle_top.orange
item.banner.triangle_top.pink,block.minecraft.banner.triangle_top.pink
item.banner.triangle_top.purple,block.minecraft.banner.triangle_top.purple
item.banner.triangle_top.red,block.minecraft.banner.triangle_top.red
item.banner.triangle_top.silver,block.minecraft.banner.triangle_top.light_gray
item.banner.triangle_top.white,block.minecraft.banner.triangle_top.white
item.banner.triangle_top.yellow,block.minecraft.banner.triangle_top.yellow
item.banner.triangles_bottom.black,block.minecraft.banner.triangles_bottom.black
item.banner.triangles_bottom.blue,block.minecraft.banner.triangles_bottom.blue
item.banner.triangles_bottom.brown,block.minecraft.banner.triangles_bottom.brown
item.banner.triangles_bottom.cyan,block.minecraft.banner.triangles_bottom.cyan
item.banner.triangles_bottom.gray,block.minecraft.banner.triangles_bottom.gray
item.banner.triangles_bottom.green,block.minecraft.banner.triangles_bottom.green
item.banner.triangles_bottom.lightBlue,block.minecraft.banner.triangles_bottom.light_blue
